TS,vejnavn,beskrivelse,taelling_type,KATEGORI,ÅR,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,længdegrader,bredegrader
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,A: LET TRAFIK I ALT,2013,19471896.0,3992.0,2985.0,2725.0,2922.0,3112.0,3035.0,3511.0,3543.0,3959.0,3528.0,3031.0,19508239.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,B: TUNG TRAFIK I ALT,2013,8372.0,163.0,163.0,191.0,162.0,158.0,140.0,124.0,99.0,95.0,70.0,54.0,9791.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,CYK+KNALL,2013,8431067.0,3266.0,1405.0,756.0,839.0,1049.0,824.0,1156.0,1908.0,2484.0,2122.0,1288.0,8448164.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,CYKLER + KNALLERTER,2013,8351060.0,3233.0,1389.0,750.0,832.0,1036.0,814.0,1139.0,1894.0,2464.0,2107.0,1284.0,8368002.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,KØRETØJER ,2013,20301968.0,4155.0,3148.0,2916.0,3084.0,3270.0,3175.0,3635.0,3642.0,4054.0,3598.0,3085.0,20339730.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LADCYKLER,2013,87.0,33.0,16.0,6.0,7.0,13.0,10.0,17.0,14.0,20.0,15.0,4.0,242.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LASTBILER,2013,2819.0,49.0,44.0,54.0,53.0,46.0,41.0,35.0,28.0,22.0,13.0,4.0,3208.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,PERSONBILER + MC,2013,154022231521.0,3258.0,2245.0,1936.0,2102.0,2312.0,2328.0,2733.0,2977.0,3459.0,3145.0,2680.0,154022260696.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2013,385352.0,734.0,740.0,789.0,820.0,800.0,707.0,778.0,566.0,500.0,383.0,351.0,392520.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,A: LET TRAFIK I ALT,2014,4109.0,3801.0,3267.0,2754.0,2877.0,3011.0,2905.0,3612.0,4138.0,4088.0,3649.0,3082.0,41293.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,B: TUNG TRAFIK I ALT,2014,141.0,145.0,167.0,170.0,124.0,153.0,145.0,126.0,97.0,78.0,64.0,43.0,1453.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,CYK+KNALL,2014,1965.0,3361.0,1500.0,910.0,895.0,1077.0,1015.0,1318.0,2149.0,2558.0,2091.0,1444.0,20283.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,CYKLER + KNALLERTER,2014,1951.0,3323.0,1481.0,903.0,886.0,1064.0,1001.0,1290.0,2116.0,2534.0,2071.0,1428.0,20048.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,KØRETØJER ,2014,4250.0,3946.0,3434.0,2924.0,3001.0,3164.0,3050.0,3738.0,4235.0,4166.0,3713.0,3125.0,42746.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LADCYKLER,2014,14.0,38.0,19.0,7.0,9.0,13.0,14.0,28.0,33.0,24.0,20.0,16.0,235.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LASTBILER,2014,33.0,34.0,41.0,44.0,42.0,44.0,42.0,34.0,21.0,12.0,9.0,4.0,360.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,PERSONBILER + MC,2014,3339.0,3155.0,2484.0,1916.0,2037.0,2198.0,2127.0,2811.0,3381.0,3607.0,3239.0,2709.0,33003.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,"VAREVOGNE (MAX. 3,5 T)",2014,770.0,646.0,783.0,838.0,840.0,813.0,778.0,801.0,757.0,481.0,410.0,373.0,8290.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,A: LET TRAFIK I ALT,2015,4095.0,3558.0,3222.0,2743.0,3084.0,3175.0,3163.0,3751.0,3995.0,4023.0,3925.0,3140.0,41874.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,B: TUNG TRAFIK I ALT,2015,128.0,155.0,166.0,173.0,147.0,166.0,152.0,132.0,99.0,78.0,66.0,58.0,1520.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,CYK+KNALL,2015,1799.0,3484.0,1444.0,732.0,731.0,889.0,749.0,1154.0,1874.0,2409.0,1909.0,1310.0,18484.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,CYKLER + KNALLERTER,2015,1786.0,3444.0,1422.0,724.0,723.0,882.0,739.0,1140.0,1843.0,2377.0,1894.0,1299.0,18273.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,KØRETØJER ,2015,4223.0,3713.0,3388.0,2916.0,3231.0,3341.0,3315.0,3883.0,4094.0,4101.0,3991.0,3198.0,43394.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LADCYKLER,2015,13.0,40.0,22.0,8.0,8.0,7.0,10.0,14.0,31.0,32.0,15.0,11.0,211.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,LASTBILER,2015,32.0,49.0,37.0,45.0,45.0,51.0,46.0,39.0,21.0,17.0,9.0,5.0,396.0,12.565491397230991,55.677960848602766
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,PERSONBILER + MC,2015,3331.0,2981.0,2474.0,1972.0,2250.0,2414.0,2462.0,2997.0,3341.0,3550.0,3513.0,2800.0,34085.0,12.565491397230991,55.677960848602766
