TS,VEJNAVN,beskrivelse,ÅR,KATEGORI,taelling_type,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,TOTAL,længdegrader,bredegrader,KØRETØJER ÅDT,KØRETØJER HDT,CYK+KNALL ÅDT,CYK+KNALL HDT,FODGÆNGERE ÅDT,FODGÆNGERE HDT,LADCYKLER %,TUNG TRAFIK %
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2013,A: LET TRAFIK I ALT,Andre faste tællinger,3843,3992,2985,2725,2922,3112,3035,3511,3543,3959,3528,3031,40186,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2013,B: TUNG TRAFIK I ALT,Andre faste tællinger,155,163,163,191,162,158,140,124,99,95,70,54,1574,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2013,BUSSER,Andre faste tællinger,42,52,47,44,39,45,48,51,56,56,45,44,569,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2013,CYK+KNALL,Andre faste tællinger,1910,3266,1405,756,839,1049,824,1156,1908,2484,2122,1288,19007,12.565491397230991,55.677960848602766,0,0,19600,23200,0,0,0.008944073236176145,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2013,CYKLER + KNALLERTER,Andre faste tællinger,1895,3233,1389,750,832,1036,814,1139,1894,2464,2107,1284,18837,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2013,KØRETØJER ,Andre faste tællinger,3998,4155,3148,2916,3084,3270,3175,3635,3642,4054,3598,3085,41760,12.565491397230991,55.677960848602766,48900,54700,0,0,0,0,,0.03769157088122605
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2013,LADCYKLER,Andre faste tællinger,15,33,16,6,7,13,10,17,14,20,15,4,170,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2013,LASTBILER,Andre faste tællinger,113,111,116,147,123,113,92,73,43,39,25,10,1005,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2013,PERSONBILER + MC,Andre faste tællinger,3106,3258,2245,1936,2102,2312,2328,2733,2977,3459,3145,2680,32281,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2013,"VAREVOGNE (MAX. 3,5 T)",Andre faste tællinger,737,734,740,789,820,800,707,778,566,500,383,351,7905,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2014,A: LET TRAFIK I ALT,Andre faste tællinger,4109,3801,3267,2754,2877,3011,2905,3612,4138,4088,3649,3082,41293,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2014,B: TUNG TRAFIK I ALT,Andre faste tællinger,141,145,167,170,124,153,145,126,97,78,64,43,1453,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2014,BUSSER,Andre faste tællinger,44,55,49,51,39,42,50,59,64,52,45,33,583,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2014,CYK+KNALL,Andre faste tællinger,1965,3361,1500,910,895,1077,1015,1318,2149,2558,2091,1444,20283,12.565491397230991,55.677960848602766,0,0,20900,24700,0,0,0.011586057289355618,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2014,CYKLER + KNALLERTER,Andre faste tællinger,1951,3323,1481,903,886,1064,1001,1290,2116,2534,2071,1428,20048,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2014,KØRETØJER ,Andre faste tællinger,4250,3946,3434,2924,3001,3164,3050,3738,4235,4166,3713,3125,42746,12.565491397230991,55.677960848602766,50000,56000,0,0,0,0,,0.03399148458335283
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2014,LADCYKLER,Andre faste tællinger,14,38,19,7,9,13,14,28,33,24,20,16,235,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2014,LASTBILER,Andre faste tællinger,97,90,118,119,85,111,95,67,33,26,19,10,870,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2014,PERSONBILER + MC,Andre faste tællinger,3339,3155,2484,1916,2037,2198,2127,2811,3381,3607,3239,2709,33003,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2014,"VAREVOGNE (MAX. 3,5 T)",Andre faste tællinger,770,646,783,838,840,813,778,801,757,481,410,373,8290,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,2015,A: LET TRAFIK I ALT,Andre faste tællinger,4095,3558,3222,2743,3084,3175,3163,3751,3995,4023,3925,3140,41874,12.565491397230991,55.677960848602766,0,0,0,0,0,0,,
