TS,ÅR,VEJNAVN,KATEGORI,TOTAL,HDT,ÅDT,TUNG %,LADCYKLER %
1,2013,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,A+B: KØRETØJER I ALT,41760,54700.0,48900.0,0.037691570881226,0.0
1,2013,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,CYKLER + KNALLERTER I ALT,19007,23200.0,19600.0,0.0,0.0089440732361761
1,2014,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,A+B: KØRETØJER I ALT,42746,56000.0,50000.0,0.0339914845833528,0.0
1,2014,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,CYKLER + KNALLERTER I ALT,20283,24700.0,20900.0,0.0,0.0115860572893556
1,2015,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,A+B: KØRETØJER I ALT,43394,56800.0,50800.0,0.0350278840392681,0.0
1,2015,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,CYKLER + KNALLERTER I ALT,18484,22600.0,19000.0,0.0,0.011415278078338
1,2016,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,A+B: KØRETØJER I ALT,42650,55900.0,49900.0,0.0382415005861664,0.0
1,2016,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,CYKLER + KNALLERTER I ALT,21601,26400.0,22200.0,0.0,0.0124531271700384
1,2022,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,A+B: KØRETØJER I ALT,40971,53700.0,47900.0,0.0400283127089892,0.0
1,2022,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,CYKLER + KNALLERTER I ALT,15680,19100.0,16200.0,0.0,0.0309948979591836
3,2013,BREDGADE n.f. Kgs Nytorv ,A+B: KØRETØJER I ALT,11115,14600.0,13000.0,0.0526315789473684,0.0
3,2013,BREDGADE n.f. Kgs Nytorv ,CYKLER + KNALLERTER I ALT,5957,7300.0,6100.0,0.0,0.0181299311734094
3,2014,BREDGADE n.f. Kgs Nytorv ,A+B: KØRETØJER I ALT,10713,14000.0,12500.0,0.0459255110613273,0.0
3,2014,BREDGADE n.f. Kgs Nytorv ,CYKLER + KNALLERTER I ALT,4317,5300.0,4400.0,0.0,0.0238591614547139
3,2016,BREDGADE n.f. Kgs Nytorv ,A+B: KØRETØJER I ALT,9844,12900.0,11500.0,0.0500812677773262,0.0
3,2016,BREDGADE n.f. Kgs Nytorv ,CYKLER + KNALLERTER I ALT,4786,5800.0,4900.0,0.0,0.0219389887170915
3,2018,BREDGADE n.f. Kgs Nytorv ,A+B: KØRETØJER I ALT,9946,13000.0,11600.0,0.0461492057108385,0.0
3,2018,BREDGADE n.f. Kgs Nytorv ,CYKLER + KNALLERTER I ALT,6261,7600.0,6400.0,0.0,0.023798115317042
3,2020,BREDGADE n.f. Kgs Nytorv ,A+B: KØRETØJER I ALT,8984,11800.0,10500.0,0.0178094390026714,0.0
3,2020,BREDGADE n.f. Kgs Nytorv ,CYKLER + KNALLERTER I ALT,5262,6400.0,5400.0,0.0,0.0330672748004561
3,2021,BREDGADE n.f. Kgs Nytorv ,A+B: KØRETØJER I ALT,9591,12600.0,11200.0,0.0209571473256177,0.0
3,2021,BREDGADE n.f. Kgs Nytorv ,CYKLER + KNALLERTER I ALT,5033,6100.0,5200.0,0.0,0.0417246175243393
3,2022,BREDGADE n.f. Kgs Nytorv ,A+B: KØRETØJER I ALT,10537,13800.0,12300.0,0.0222074594286798,0.0
3,2022,BREDGADE n.f. Kgs Nytorv ,CYKLER + KNALLERTER I ALT,5630,6900.0,5800.0,0.0,0.0451154529307282
4,2013,CHRISTIAN IV's BRO,A+B: KØRETØJER I ALT,13610,17800.0,15900.0,0.0016899338721528,0.0
4,2013,CHRISTIAN IV's BRO,CYKLER + KNALLERTER I ALT,2994,3700.0,3100.0,0.0,0.0110220440881763
4,2014,CHRISTIAN IV's BRO,A+B: KØRETØJER I ALT,12435,16300.0,14500.0,0.0014475271411338,0.0
4,2014,CHRISTIAN IV's BRO,CYKLER + KNALLERTER I ALT,2233,2700.0,2300.0,0.0,0.0143304970891177
4,2015,CHRISTIAN IV's BRO,A+B: KØRETØJER I ALT,11612,15200.0,13600.0,0.0021529452290733,0.0
4,2015,CHRISTIAN IV's BRO,CYKLER + KNALLERTER I ALT,2368,2900.0,2400.0,0.0,0.0198479729729729
4,2018,CHRISTIAN IV's BRO,A+B: KØRETØJER I ALT,13016,17100.0,15200.0,0.0031499692685925,0.0
4,2018,CHRISTIAN IV's BRO,CYKLER + KNALLERTER I ALT,4510,5500.0,4600.0,0.0,0.025720620842572
4,2020,CHRISTIAN IV's BRO,A+B: KØRETØJER I ALT,11701,15300.0,13700.0,0.00153833005726,0.0
4,2020,CHRISTIAN IV's BRO,CYKLER + KNALLERTER I ALT,7042,8600.0,7300.0,0.0,0.0278330019880715
4,2021,CHRISTIAN IV's BRO,A+B: KØRETØJER I ALT,12145,15900.0,14200.0,0.001482091395636,0.0
4,2021,CHRISTIAN IV's BRO,CYKLER + KNALLERTER I ALT,6902,8400.0,7100.0,0.0,0.031005505650536
4,2023,CHRISTIAN IV's BRO,A+B: KØRETØJER I ALT,10450,13700.0,12200.0,0.0028708133971291,0.0
4,2023,CHRISTIAN IV's BRO,CYKLER + KNALLERTER I ALT,9753,11900.0,10000.0,0.0,0.0388598379985645
5,2014,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,5123,6700.0,6000.0,0.1440562170603162,0.0
5,2015,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,4923,6400.0,5800.0,0.1444241316270566,0.0
5,2016,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,4961,6500.0,5800.0,0.1394880064503124,0.0
5,2017,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,5023,6600.0,5900.0,0.1298029066295042,0.0
5,2018,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,4359,5700.0,5100.0,0.1479697178251892,0.0
5,2019,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,4274,5600.0,5000.0,0.1481048198408984,0.0
5,2020,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,3932,5200.0,4600.0,0.1396236012207528,0.0
5,2021,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,4249,5600.0,5000.0,0.1242645328312544,0.0
5,2023,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,3298,4300.0,3900.0,0.1597938144329896,0.0
6,2013,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,4680,6100.0,5500.0,0.0382478632478632,0.0
6,2013,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8229,10000.0,8500.0,0.0,0.0170130027949933
6,2014,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,4621,6100.0,5400.0,0.0326769097597922,0.0
6,2014,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8095,9900.0,8300.0,0.0,0.0150710315009264
6,2015,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,5706,7500.0,6700.0,0.0257623554153522,0.0
6,2015,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,7330,8900.0,7500.0,0.0,0.0178717598908594
6,2016,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,4558,6000.0,5300.0,0.031812198332602,0.0
6,2016,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8870,10800.0,9100.0,0.0,0.0166854565952649
6,2017,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,5869,7700.0,6900.0,0.0296472993695689,0.0
6,2017,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8252,10100.0,8500.0,0.0,0.0199951526902569
6,2018,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,4618,6000.0,5400.0,0.0350801212646167,0.0
6,2018,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,9553,11700.0,9800.0,0.0,0.0196796817753585
6,2019,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,4691,6100.0,5500.0,0.0351737369430825,0.0
6,2019,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8203,10000.0,8400.0,0.0,0.0246251371449469
6,2020,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,3938,5200.0,4600.0,0.0215845606907059,0.0
6,2020,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,7731,9400.0,8000.0,0.0,0.0280688138662527
6,2021,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,3602,4700.0,4200.0,0.0244308717379233,0.0
6,2021,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8537,10400.0,8800.0,0.0,0.0324469954316504
6,2022,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,3537,4600.0,4100.0,0.0277070964093864,0.0
6,2022,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8767,10700.0,9000.0,0.0,0.0321660773354625
6,2023,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,3459,4500.0,4000.0,0.0320901994796183,0.0
6,2023,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,9098,11100.0,9400.0,0.0,0.0317652231259617
7,2013,ELLEBJERGVEJ 138 ø.f. Poppelstykket,A+B: KØRETØJER I ALT,30658,40200.0,35900.0,0.0335312153434666,0.0
7,2013,ELLEBJERGVEJ 138 ø.f. Poppelstykket,CYKLER + KNALLERTER I ALT,2623,3200.0,2700.0,0.0,0.0205871139916126
7,2014,ELLEBJERGVEJ 138 ø.f. Poppelstykket,A+B: KØRETØJER I ALT,30093,39400.0,35200.0,0.0350579869072541,0.0
7,2014,ELLEBJERGVEJ 138 ø.f. Poppelstykket,CYKLER + KNALLERTER I ALT,2764,3400.0,2800.0,0.0,0.0217076700434153
7,2015,ELLEBJERGVEJ 138 ø.f. Poppelstykket,A+B: KØRETØJER I ALT,30647,40100.0,35900.0,0.0401018044180507,0.0
7,2015,ELLEBJERGVEJ 138 ø.f. Poppelstykket,CYKLER + KNALLERTER I ALT,2282,2800.0,2400.0,0.0,0.0280455740578439
7,2016,ELLEBJERGVEJ 138 ø.f. Poppelstykket,A+B: KØRETØJER I ALT,30684,40200.0,35900.0,0.0371855038456524,0.0
7,2016,ELLEBJERGVEJ 138 ø.f. Poppelstykket,CYKLER + KNALLERTER I ALT,3197,3900.0,3300.0,0.0,0.0312793243665936
7,2019,ELLEBJERGVEJ 138 ø.f. Poppelstykket,A+B: KØRETØJER I ALT,27215,35700.0,31800.0,0.0378467756751791,0.0
7,2019,ELLEBJERGVEJ 138 ø.f. Poppelstykket,CYKLER + KNALLERTER I ALT,3417,4200.0,3500.0,0.0,0.0421422300263388
7,2020,ELLEBJERGVEJ 138 ø.f. Poppelstykket,A+B: KØRETØJER I ALT,27944,36600.0,32700.0,0.0256226739192671,0.0
7,2020,ELLEBJERGVEJ 138 ø.f. Poppelstykket,CYKLER + KNALLERTER I ALT,4003,4900.0,4100.0,0.0,0.0492130901823632
7,2021,ELLEBJERGVEJ 138 ø.f. Poppelstykket,A+B: KØRETØJER I ALT,28540,37400.0,33400.0,0.0251576734407848,0.0
7,2021,ELLEBJERGVEJ 138 ø.f. Poppelstykket,CYKLER + KNALLERTER I ALT,4155,5100.0,4300.0,0.0,0.0428399518652226
8,2013,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,10664,14000.0,12500.0,0.018754688672168,0.0
8,2013,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,1470,1800.0,1500.0,0.0,0.0156462585034013
8,2014,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,10898,14300.0,12800.0,0.0198201504863277,0.0
8,2014,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,2290,2800.0,2400.0,0.0,0.0475982532751091
8,2015,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,11226,14700.0,13100.0,0.0172813112417602,0.0
8,2015,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,1758,2100.0,1800.0,0.0,0.030716723549488
8,2016,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,10856,14200.0,12700.0,0.0204495210022107,0.0
8,2016,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,2346,2900.0,2400.0,0.0,0.0451832907075873
8,2017,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,11133,14600.0,13000.0,0.0203898320308991,0.0
8,2017,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,1985,2400.0,2000.0,0.0,0.0397984886649874
8,2018,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,11239,14700.0,13100.0,0.0219770442210161,0.0
8,2018,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,2215,2700.0,2300.0,0.0,0.037471783295711
8,2019,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,11517,15100.0,13500.0,0.0204046192584874,0.0
8,2019,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,1787,2200.0,1800.0,0.0,0.0464465584778959
8,2020,ENGLANDSVEJ n.f. Følfodvej,A+B: KØRETØJER I ALT,9311,12200.0,10900.0,0.018902373536677,0.0
8,2020,ENGLANDSVEJ n.f. Følfodvej,CYKLER + KNALLERTER I ALT,2271,2800.0,2300.0,0.0,0.0501981505944517
