TS,VEJNAVN,ÅR,KATEGORI,ANTAL 8-9
8,ENGLANDSVEJ n.f. Følfodvej,2013,A+B: KØRETØJER I ALT,914
8,ENGLANDSVEJ n.f. Følfodvej,2013,A: LET TRAFIK I ALT,889
8,ENGLANDSVEJ n.f. Følfodvej,2013,B: TUNG TRAFIK I ALT,25
8,ENGLANDSVEJ n.f. Følfodvej,2013,CYKLER + KNALLERTER,219
8,ENGLANDSVEJ n.f. Følfodvej,2013,CYKLER + KNALLERTER I ALT,220
8,ENGLANDSVEJ n.f. Følfodvej,2013,LADCYKLER,1
8,ENGLANDSVEJ n.f. Følfodvej,2013,LASTBILER,19
8,ENGLANDSVEJ n.f. Følfodvej,2013,PERSONBILER + MC,705
8,ENGLANDSVEJ n.f. Følfodvej,2013,"VAREVOGNE (MAX. 3,5 t)",184
8,ENGLANDSVEJ n.f. Følfodvej,2014,A+B: KØRETØJER I ALT,1005
8,ENGLANDSVEJ n.f. Følfodvej,2014,A: LET TRAFIK I ALT,977
8,ENGLANDSVEJ n.f. Følfodvej,2014,B: TUNG TRAFIK I ALT,28
8,ENGLANDSVEJ n.f. Følfodvej,2014,CYKLER + KNALLERTER,252
8,ENGLANDSVEJ n.f. Følfodvej,2014,CYKLER + KNALLERTER I ALT,275
8,ENGLANDSVEJ n.f. Følfodvej,2014,LADCYKLER,23
8,ENGLANDSVEJ n.f. Følfodvej,2014,LASTBILER,22
8,ENGLANDSVEJ n.f. Følfodvej,2014,PERSONBILER + MC,802
8,ENGLANDSVEJ n.f. Følfodvej,2014,"VAREVOGNE (MAX. 3,5 t)",175
8,ENGLANDSVEJ n.f. Følfodvej,2015,A+B: KØRETØJER I ALT,957
8,ENGLANDSVEJ n.f. Følfodvej,2015,A: LET TRAFIK I ALT,932
8,ENGLANDSVEJ n.f. Følfodvej,2015,B: TUNG TRAFIK I ALT,25
8,ENGLANDSVEJ n.f. Følfodvej,2015,CYKLER + KNALLERTER,203
8,ENGLANDSVEJ n.f. Følfodvej,2015,CYKLER + KNALLERTER I ALT,208
8,ENGLANDSVEJ n.f. Følfodvej,2015,LADCYKLER,5
8,ENGLANDSVEJ n.f. Følfodvej,2015,LASTBILER,19
8,ENGLANDSVEJ n.f. Følfodvej,2015,PERSONBILER + MC,770
8,ENGLANDSVEJ n.f. Følfodvej,2015,"VAREVOGNE (MAX. 3,5 t)",162
8,ENGLANDSVEJ n.f. Følfodvej,2016,A+B: KØRETØJER I ALT,910
8,ENGLANDSVEJ n.f. Følfodvej,2016,A: LET TRAFIK I ALT,884
8,ENGLANDSVEJ n.f. Følfodvej,2016,B: TUNG TRAFIK I ALT,26
8,ENGLANDSVEJ n.f. Følfodvej,2016,CYKLER + KNALLERTER,273
8,ENGLANDSVEJ n.f. Følfodvej,2016,CYKLER + KNALLERTER I ALT,285
8,ENGLANDSVEJ n.f. Følfodvej,2016,LADCYKLER,12
8,ENGLANDSVEJ n.f. Følfodvej,2016,LASTBILER,21
8,ENGLANDSVEJ n.f. Følfodvej,2016,PERSONBILER + MC,730
8,ENGLANDSVEJ n.f. Følfodvej,2016,"VAREVOGNE (MAX. 3,5 t)",154
8,ENGLANDSVEJ n.f. Følfodvej,2017,A+B: KØRETØJER I ALT,976
8,ENGLANDSVEJ n.f. Følfodvej,2017,A: LET TRAFIK I ALT,952
8,ENGLANDSVEJ n.f. Følfodvej,2017,B: TUNG TRAFIK I ALT,24
8,ENGLANDSVEJ n.f. Følfodvej,2017,CYKLER + KNALLERTER,215
8,ENGLANDSVEJ n.f. Følfodvej,2017,CYKLER + KNALLERTER I ALT,223
8,ENGLANDSVEJ n.f. Følfodvej,2017,LADCYKLER,8
8,ENGLANDSVEJ n.f. Følfodvej,2017,LASTBILER,17
8,ENGLANDSVEJ n.f. Følfodvej,2017,PERSONBILER + MC,773
8,ENGLANDSVEJ n.f. Følfodvej,2017,"VAREVOGNE (MAX. 3,5 t)",179
8,ENGLANDSVEJ n.f. Følfodvej,2018,A+B: KØRETØJER I ALT,949
8,ENGLANDSVEJ n.f. Følfodvej,2018,A: LET TRAFIK I ALT,914
8,ENGLANDSVEJ n.f. Følfodvej,2018,B: TUNG TRAFIK I ALT,35
8,ENGLANDSVEJ n.f. Følfodvej,2018,CYKLER + KNALLERTER,255
8,ENGLANDSVEJ n.f. Følfodvej,2018,CYKLER + KNALLERTER I ALT,263
8,ENGLANDSVEJ n.f. Følfodvej,2018,LADCYKLER,8
8,ENGLANDSVEJ n.f. Følfodvej,2018,LASTBILER,28
8,ENGLANDSVEJ n.f. Følfodvej,2018,PERSONBILER + MC,732
8,ENGLANDSVEJ n.f. Følfodvej,2018,"VAREVOGNE (MAX. 3,5 t)",182
8,ENGLANDSVEJ n.f. Følfodvej,2019,A+B: KØRETØJER I ALT,1063
8,ENGLANDSVEJ n.f. Følfodvej,2019,A: LET TRAFIK I ALT,1036
8,ENGLANDSVEJ n.f. Følfodvej,2019,B: TUNG TRAFIK I ALT,27
8,ENGLANDSVEJ n.f. Følfodvej,2019,CYKLER + KNALLERTER,211
8,ENGLANDSVEJ n.f. Følfodvej,2019,CYKLER + KNALLERTER I ALT,218
8,ENGLANDSVEJ n.f. Følfodvej,2019,LADCYKLER,7
8,ENGLANDSVEJ n.f. Følfodvej,2019,LASTBILER,20
8,ENGLANDSVEJ n.f. Følfodvej,2019,PERSONBILER + MC,847
8,ENGLANDSVEJ n.f. Følfodvej,2019,"VAREVOGNE (MAX. 3,5 t)",189
8,ENGLANDSVEJ n.f. Følfodvej,2020,A+B: KØRETØJER I ALT,808
8,ENGLANDSVEJ n.f. Følfodvej,2020,A: LET TRAFIK I ALT,783
8,ENGLANDSVEJ n.f. Følfodvej,2020,B: TUNG TRAFIK I ALT,25
8,ENGLANDSVEJ n.f. Følfodvej,2020,CYKLER + KNALLERTER,242
8,ENGLANDSVEJ n.f. Følfodvej,2020,CYKLER + KNALLERTER I ALT,260
8,ENGLANDSVEJ n.f. Følfodvej,2020,LADCYKLER,18
8,ENGLANDSVEJ n.f. Følfodvej,2020,LASTBILER,19
8,ENGLANDSVEJ n.f. Følfodvej,2020,PERSONBILER + MC,644
8,ENGLANDSVEJ n.f. Følfodvej,2020,"VAREVOGNE (MAX. 3,5 t)",139
8,ENGLANDSVEJ n.f. Følfodvej,2021,A+B: KØRETØJER I ALT,934
8,ENGLANDSVEJ n.f. Følfodvej,2021,A: LET TRAFIK I ALT,911
8,ENGLANDSVEJ n.f. Følfodvej,2021,B: TUNG TRAFIK I ALT,23
8,ENGLANDSVEJ n.f. Følfodvej,2021,CYKLER + KNALLERTER,180
8,ENGLANDSVEJ n.f. Følfodvej,2021,CYKLER + KNALLERTER I ALT,199
8,ENGLANDSVEJ n.f. Følfodvej,2021,LADCYKLER,19
8,ENGLANDSVEJ n.f. Følfodvej,2021,LASTBILER,18
8,ENGLANDSVEJ n.f. Følfodvej,2021,PERSONBILER + MC,716
8,ENGLANDSVEJ n.f. Følfodvej,2021,"VAREVOGNE (MAX. 3,5 t)",195
8,ENGLANDSVEJ n.f. Følfodvej,2022,A+B: KØRETØJER I ALT,1080
8,ENGLANDSVEJ n.f. Følfodvej,2022,A: LET TRAFIK I ALT,1054
8,ENGLANDSVEJ n.f. Følfodvej,2022,B: TUNG TRAFIK I ALT,26
8,ENGLANDSVEJ n.f. Følfodvej,2022,CYKLER + KNALLERTER,243
8,ENGLANDSVEJ n.f. Følfodvej,2022,CYKLER + KNALLERTER I ALT,273
8,ENGLANDSVEJ n.f. Følfodvej,2022,LADCYKLER,30
8,ENGLANDSVEJ n.f. Følfodvej,2022,LASTBILER,21
8,ENGLANDSVEJ n.f. Følfodvej,2022,PERSONBILER + MC,850
8,ENGLANDSVEJ n.f. Følfodvej,2022,"VAREVOGNE (MAX. 3,5 t)",204
8,ENGLANDSVEJ n.f. Følfodvej,2023,A+B: KØRETØJER I ALT,1034
8,ENGLANDSVEJ n.f. Følfodvej,2023,A: LET TRAFIK I ALT,1006
8,ENGLANDSVEJ n.f. Følfodvej,2023,B: TUNG TRAFIK I ALT,28
8,ENGLANDSVEJ n.f. Følfodvej,2023,CYKLER + KNALLERTER,205
8,ENGLANDSVEJ n.f. Følfodvej,2023,CYKLER + KNALLERTER I ALT,228
8,ENGLANDSVEJ n.f. Følfodvej,2023,LADCYKLER,23
8,ENGLANDSVEJ n.f. Følfodvej,2023,LASTBILER,22
8,ENGLANDSVEJ n.f. Følfodvej,2023,PERSONBILER + MC,810
8,ENGLANDSVEJ n.f. Følfodvej,2023,"VAREVOGNE (MAX. 3,5 t)",196
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,A+B: KØRETØJER I ALT,1536
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,A: LET TRAFIK I ALT,1492
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,B: TUNG TRAFIK I ALT,44
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,CYKLER + KNALLERTER,846
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,CYKLER + KNALLERTER I ALT,850
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,LADCYKLER,4
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,LASTBILER,13
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,PERSONBILER + MC,1240
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2013,"VAREVOGNE (MAX. 3,5 t)",252
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2014,A+B: KØRETØJER I ALT,1399
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2014,A: LET TRAFIK I ALT,1346
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2014,B: TUNG TRAFIK I ALT,53
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2014,CYKLER + KNALLERTER,542
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2014,CYKLER + KNALLERTER I ALT,544
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2014,LADCYKLER,2
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2014,LASTBILER,21
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2014,PERSONBILER + MC,1141
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2014,"VAREVOGNE (MAX. 3,5 t)",205
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2015,A+B: KØRETØJER I ALT,1458
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2015,A: LET TRAFIK I ALT,1412
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2015,B: TUNG TRAFIK I ALT,46
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2015,CYKLER + KNALLERTER,629
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2015,CYKLER + KNALLERTER I ALT,640
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2015,LADCYKLER,11
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2015,LASTBILER,13
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2015,PERSONBILER + MC,1219
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2015,"VAREVOGNE (MAX. 3,5 t)",193
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2016,A+B: KØRETØJER I ALT,1461
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2016,A: LET TRAFIK I ALT,1413
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2016,B: TUNG TRAFIK I ALT,48
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2016,CYKLER + KNALLERTER,574
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2016,CYKLER + KNALLERTER I ALT,580
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2016,LADCYKLER,6
13,FREDERIKSBORGVEJ 221  s.f. Gladsaxevej,2016,LASTBILER,17
