TS,ÅR,VEJNAVN,KATEGORI,TOTAL,HDT,ÅDT,TUNG %,LADCYKLER %
5,2014,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,5123,6700.0,6000.0,0.1440562170603162,0.0
5,2015,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,4923,6400.0,5800.0,0.1444241316270566,0.0
5,2016,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,4961,6500.0,5800.0,0.1394880064503124,0.0
5,2017,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,5023,6600.0,5900.0,0.1298029066295042,0.0
5,2018,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,4359,5700.0,5100.0,0.1479697178251892,0.0
5,2019,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,4274,5600.0,5000.0,0.1481048198408984,0.0
5,2020,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,3932,5200.0,4600.0,0.1396236012207528,0.0
5,2021,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,4249,5600.0,5000.0,0.1242645328312544,0.0
5,2023,DRONNING LOUISES BRO,A+B: KØRETØJER I ALT,3298,4300.0,3900.0,0.1597938144329896,0.0
6,2013,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,4680,6100.0,5500.0,0.0382478632478632,0.0
6,2013,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8229,10000.0,8500.0,0.0,0.0170130027949933
6,2014,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,4621,6100.0,5400.0,0.0326769097597922,0.0
6,2014,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8095,9900.0,8300.0,0.0,0.0150710315009264
6,2015,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,5706,7500.0,6700.0,0.0257623554153522,0.0
6,2015,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,7330,8900.0,7500.0,0.0,0.0178717598908594
6,2016,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,4558,6000.0,5300.0,0.031812198332602,0.0
6,2016,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8870,10800.0,9100.0,0.0,0.0166854565952649
6,2017,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,5869,7700.0,6900.0,0.0296472993695689,0.0
6,2017,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8252,10100.0,8500.0,0.0,0.0199951526902569
6,2018,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,4618,6000.0,5400.0,0.0350801212646167,0.0
6,2018,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,9553,11700.0,9800.0,0.0,0.0196796817753585
6,2019,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,4691,6100.0,5500.0,0.0351737369430825,0.0
6,2019,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8203,10000.0,8400.0,0.0,0.0246251371449469
6,2020,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,3938,5200.0,4600.0,0.0215845606907059,0.0
6,2020,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,7731,9400.0,8000.0,0.0,0.0280688138662527
6,2021,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,3602,4700.0,4200.0,0.0244308717379233,0.0
6,2021,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8537,10400.0,8800.0,0.0,0.0324469954316504
6,2022,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,3537,4600.0,4100.0,0.0277070964093864,0.0
6,2022,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,8767,10700.0,9000.0,0.0,0.0321660773354625
6,2023,KAMPMANNSGADE ud for søerne,A+B: KØRETØJER I ALT,3459,4500.0,4000.0,0.0320901994796183,0.0
6,2023,KAMPMANNSGADE ud for søerne,CYKLER + KNALLERTER I ALT,9098,11100.0,9400.0,0.0,0.0317652231259617
19,2013,GYLDENLØVESGADE ud for Søerne ,A+B: KØRETØJER I ALT,44105,57800.0,51600.0,0.0343271737898197,0.0
19,2013,GYLDENLØVESGADE ud for Søerne ,CYKLER + KNALLERTER I ALT,25358,30900.0,26100.0,0.0,0.0134474327628361
19,2015,GYLDENLØVESGADE ud for Søerne ,A+B: KØRETØJER I ALT,43694,57200.0,51100.0,0.0362292305579713,0.0
19,2015,GYLDENLØVESGADE ud for Søerne ,CYKLER + KNALLERTER I ALT,26614,32500.0,27400.0,0.0,0.0183737882317577
19,2016,GYLDENLØVESGADE ud for Søerne ,A+B: KØRETØJER I ALT,42159,55200.0,49300.0,0.0340378092459498,0.0
19,2016,GYLDENLØVESGADE ud for Søerne ,CYKLER + KNALLERTER I ALT,26601,32500.0,27400.0,0.0,0.0183075824217134
19,2017,GYLDENLØVESGADE ud for Søerne ,A+B: KØRETØJER I ALT,43737,57300.0,51200.0,0.0346845919930493,0.0
19,2017,GYLDENLØVESGADE ud for Søerne ,CYKLER + KNALLERTER I ALT,24929,30400.0,25700.0,0.0,0.0187332022945164
19,2018,GYLDENLØVESGADE ud for Søerne ,A+B: KØRETØJER I ALT,41033,53800.0,48000.0,0.0374332854044305,0.0
19,2018,GYLDENLØVESGADE ud for Søerne ,CYKLER + KNALLERTER I ALT,28125,34300.0,29000.0,0.0,0.0217955555555555
19,2019,GYLDENLØVESGADE ud for Søerne ,A+B: KØRETØJER I ALT,41952,55000.0,49100.0,0.0361365369946605,0.0
19,2019,GYLDENLØVESGADE ud for Søerne ,CYKLER + KNALLERTER I ALT,25035,30500.0,25800.0,0.0,0.022648292390653
19,2020,GYLDENLØVESGADE ud for Søerne ,A+B: KØRETØJER I ALT,41118,53900.0,48100.0,0.0286492533683544,0.0
19,2020,GYLDENLØVESGADE ud for Søerne ,CYKLER + KNALLERTER I ALT,27616,33700.0,28400.0,0.0,0.0237181344148319
19,2021,GYLDENLØVESGADE ud for Søerne ,A+B: KØRETØJER I ALT,40585,53200.0,47500.0,0.0293458174202291,0.0
19,2021,GYLDENLØVESGADE ud for Søerne ,CYKLER + KNALLERTER I ALT,23533,28700.0,24200.0,0.0,0.0332724259550418
19,2022,GYLDENLØVESGADE ud for Søerne ,A+B: KØRETØJER I ALT,39917,52300.0,46700.0,0.0290853521056191,0.0
19,2022,GYLDENLØVESGADE ud for Søerne ,CYKLER + KNALLERTER I ALT,24305,29700.0,25000.0,0.0,0.0379345813618597
19,2023,GYLDENLØVESGADE ud for Søerne ,A+B: KØRETØJER I ALT,39083,51200.0,45700.0,0.0333648901056725,0.0
19,2023,GYLDENLØVESGADE ud for Søerne ,CYKLER + KNALLERTER I ALT,27000,32900.0,27800.0,0.0,0.0363703703703703
25,2013,KALVEBOD BRYGGE sv.f. Bernstorffsgade,A+B: KØRETØJER I ALT,30006,39300.0,35100.0,0.0437245884156502,0.0
25,2013,KALVEBOD BRYGGE sv.f. Bernstorffsgade,CYKLER + KNALLERTER I ALT,2834,3500.0,2900.0,0.0,0.0109386026817219
25,2014,KALVEBOD BRYGGE sv.f. Bernstorffsgade,A+B: KØRETØJER I ALT,31483,41200.0,36800.0,0.0451672331099323,0.0
25,2014,KALVEBOD BRYGGE sv.f. Bernstorffsgade,CYKLER + KNALLERTER I ALT,2464,3000.0,2500.0,0.0,0.0101461038961038
25,2015,KALVEBOD BRYGGE sv.f. Bernstorffsgade,A+B: KØRETØJER I ALT,31866,41700.0,37300.0,0.053222870771355,0.0
25,2015,KALVEBOD BRYGGE sv.f. Bernstorffsgade,CYKLER + KNALLERTER I ALT,2713,3300.0,2800.0,0.0,0.0125322521194249
25,2016,KALVEBOD BRYGGE sv.f. Bernstorffsgade,A+B: KØRETØJER I ALT,31793,41600.0,37200.0,0.0470229295756927,0.0
25,2016,KALVEBOD BRYGGE sv.f. Bernstorffsgade,CYKLER + KNALLERTER I ALT,3727,4500.0,3800.0,0.0,0.0136839280922994
25,2017,KALVEBOD BRYGGE sv.f. Bernstorffsgade,A+B: KØRETØJER I ALT,32407,42500.0,37900.0,0.0469343043169685,0.0
25,2017,KALVEBOD BRYGGE sv.f. Bernstorffsgade,CYKLER + KNALLERTER I ALT,2740,3300.0,2800.0,0.0,0.0186131386861313
25,2018,KALVEBOD BRYGGE sv.f. Bernstorffsgade,A+B: KØRETØJER I ALT,32543,42600.0,38100.0,0.0502104907353347,0.0
25,2018,KALVEBOD BRYGGE sv.f. Bernstorffsgade,CYKLER + KNALLERTER I ALT,2860,3500.0,2900.0,0.0,0.0339160839160839
25,2019,KALVEBOD BRYGGE sv.f. Bernstorffsgade,A+B: KØRETØJER I ALT,30384,39800.0,35500.0,0.0529225908372827,0.0
25,2019,KALVEBOD BRYGGE sv.f. Bernstorffsgade,CYKLER + KNALLERTER I ALT,3326,4100.0,3400.0,0.0,0.0252555622369212
25,2020,KALVEBOD BRYGGE sv.f. Bernstorffsgade,A+B: KØRETØJER I ALT,29770,39000.0,34800.0,0.0451125293920053,0.0
25,2020,KALVEBOD BRYGGE sv.f. Bernstorffsgade,CYKLER + KNALLERTER I ALT,4637,5700.0,4800.0,0.0,0.0269570843217597
25,2021,KALVEBOD BRYGGE sv.f. Bernstorffsgade,A+B: KØRETØJER I ALT,31121,40800.0,36400.0,0.0428006812120433,0.0
25,2021,KALVEBOD BRYGGE sv.f. Bernstorffsgade,CYKLER + KNALLERTER I ALT,4060,5000.0,4200.0,0.0,0.033743842364532
25,2022,KALVEBOD BRYGGE sv.f. Bernstorffsgade,A+B: KØRETØJER I ALT,31778,41600.0,37200.0,0.051230410976147,0.0
25,2022,KALVEBOD BRYGGE sv.f. Bernstorffsgade,CYKLER + KNALLERTER I ALT,5260,6400.0,5400.0,0.0,0.0435361216730038
25,2023,KALVEBOD BRYGGE sv.f. Bernstorffsgade,A+B: KØRETØJER I ALT,27496,36000.0,32200.0,0.0469886528949665,0.0
25,2023,KALVEBOD BRYGGE sv.f. Bernstorffsgade,CYKLER + KNALLERTER I ALT,6628,8100.0,6800.0,0.0,0.0491852745926372
26,2013,KNIPPELSBRO,A+B: KØRETØJER I ALT,20528,26900.0,24000.0,0.0667868277474668,0.0
26,2013,KNIPPELSBRO,CYKLER + KNALLERTER I ALT,36444,44500.0,37500.0,0.0,0.0188234002853693
26,2014,KNIPPELSBRO,A+B: KØRETØJER I ALT,19098,25000.0,22300.0,0.0613676824798408,0.0
26,2014,KNIPPELSBRO,CYKLER + KNALLERTER I ALT,33964,41400.0,35000.0,0.0,0.0165763749852785
26,2015,KNIPPELSBRO,A+B: KØRETØJER I ALT,21072,27600.0,24700.0,0.0624525436598329,0.0
26,2015,KNIPPELSBRO,CYKLER + KNALLERTER I ALT,35765,43600.0,36800.0,0.0,0.0209143016915979
26,2016,KNIPPELSBRO,A+B: KØRETØJER I ALT,20855,27300.0,24400.0,0.0569647566530807,0.0
26,2016,KNIPPELSBRO,CYKLER + KNALLERTER I ALT,31621,38600.0,32600.0,0.0,0.018848233768698
