TS,VEJNAVN,ÅR,KATEGORI,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,A+B: KØRETØJER I ALT,4097,3908,3207,2788,2934,3024,3087,3706,3873,3935,3561,2851
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,A: LET TRAFIK I ALT,3935,3725,3023,2620,2790,2861,2933,3561,3770,3847,3480,2786
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,ANDRE BUSSER,12,14,9,8,2,5,7,12,14,12,11,10
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,B: TUNG TRAFIK I ALT,162,183,184,168,144,163,154,145,103,88,81,65
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,BUSSER I FAST RUTE,54,52,61,54,56,54,51,54,50,58,57,50
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,CYKLER + KNALLERTER,1388,2415,1094,642,678,741,647,915,1533,2332,1732,1077
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,CYKLER + KNALLERTER I ALT,1430,2488,1137,663,706,773,672,954,1592,2391,1766,1108
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,LADCYKLER,42,73,43,21,28,32,25,39,59,59,34,31
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,"LASTBILER, 2 aksler",33,31,37,34,35,35,25,20,9,6,4,4
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,"LASTBILER, 3 aksler",24,28,29,26,13,16,13,18,8,1,3,0
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,"LASTBILER, 4 - flere aksler",39,58,48,46,38,53,58,41,22,11,6,1
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,MOTORCYKLER,29,16,15,14,20,26,19,8,15,29,36,25
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,PERSONBILER,3216,3109,2412,1880,2051,2124,2214,2874,3207,3481,3127,2496
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2022,"VAREVOGNE (MAX. 3,5 T)",690,600,596,726,719,711,700,679,548,337,317,265
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,A+B: KØRETØJER I ALT,4250,3946,3434,2924,3001,3164,3050,3738,4235,4166,3713,3125
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,A: LET TRAFIK I ALT,4109,3801,3267,2754,2877,3011,2905,3612,4138,4088,3649,3082
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,ANDRE BUSSER,12,17,15,22,13,15,21,24,30,19,14,9
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,B: TUNG TRAFIK I ALT,141,145,167,170,124,153,145,126,97,78,64,43
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,BUSSER I FAST RUTE,32,38,34,29,26,27,29,35,34,33,31,24
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,CYKLER + KNALLERTER,1951,3323,1481,903,886,1064,1001,1290,2116,2534,2071,1428
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,CYKLER + KNALLERTER I ALT,1965,3361,1500,910,895,1077,1015,1318,2149,2558,2091,1444
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,LADCYKLER,14,38,19,7,9,13,14,28,33,24,20,16
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,"LASTBILER, 2 aksler",48,40,50,55,30,46,39,26,10,10,8,5
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,"LASTBILER, 3 AKSLER",16,16,27,20,13,21,14,7,2,4,2,1
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,"LASTBILER, 4 - flere aksler",33,34,41,44,42,44,42,34,21,12,9,4
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,MOTORCYKLER,54,34,40,22,35,29,33,59,64,48,44,49
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,PERSONBILER,3285,3121,2444,1894,2002,2169,2094,2752,3317,3559,3195,2660
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2014,"VAREVOGNE (MAX. 3,5 T)",770,646,783,838,840,813,778,801,757,481,410,373
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,A+B: KØRETØJER I ALT,3998,4155,3148,2916,3084,3270,3175,3635,3642,4054,3598,3085
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,A: LET TRAFIK I ALT,3843,3992,2985,2725,2922,3112,3035,3511,3543,3959,3528,3031
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,ANDRE BUSSER,9,16,15,18,13,18,22,19,22,24,13,16
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,B: TUNG TRAFIK I ALT,155,163,163,191,162,158,140,124,99,95,70,54
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,BUSSER I FAST RUTE,33,36,32,26,26,27,26,32,34,32,32,28
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,CYKLER + KNALLERTER,1895,3233,1389,750,832,1036,814,1139,1894,2464,2107,1284
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,CYKLER + KNALLERTER I ALT,1910,3266,1405,756,839,1049,824,1156,1908,2484,2122,1288
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,LADCYKLER,15,33,16,6,7,13,10,17,14,20,15,4
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,"LASTBILER, 2 aksler",44,46,52,66,54,44,33,27,12,14,12,5
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,"LASTBILER, 3 AKSLER",22,16,20,27,16,23,18,11,3,3,0,1
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,"LASTBILER, 4 - flere aksler",47,49,44,54,53,46,41,35,28,22,13,4
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,MOTORCYKLER,45,41,18,17,24,23,21,28,40,44,40,41
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,PERSONBILER,3061,3217,2227,1919,2078,2289,2307,2705,2937,3415,3105,2639
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2013,"VAREVOGNE (MAX. 3,5 T)",737,734,740,789,820,800,707,778,566,500,383,351
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,A+B: KØRETØJER I ALT,4355,3935,3259,2937,2856,3141,3191,3843,4243,3955,3786,3149
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,A: LET TRAFIK I ALT,4185,3742,3050,2775,2705,3014,3017,3682,4145,3883,3723,3098
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,ANDRE BUSSER,20,19,26,15,20,16,48,30,25,10,13,11
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,B: TUNG TRAFIK I ALT,170,193,209,162,151,127,174,161,98,72,63,51
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,BUSSER I FAST RUTE,32,42,33,26,27,25,24,30,35,33,30,25
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,CYKLER + KNALLERTER,2199,3892,1757,852,755,927,878,1346,2311,2929,2112,1374
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,CYKLER + KNALLERTER I ALT,2215,3937,1774,872,763,941,894,1373,2354,2959,2128,1391
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,LADCYKLER,16,45,17,20,8,14,16,27,43,30,16,17
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,"LASTBILER, 2 aksler",45,59,69,46,40,33,47,48,15,11,11,8
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,"LASTBILER, 3 aksler",16,15,22,25,19,13,10,13,6,1,1,0
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,"LASTBILER, 4 - flere aksler",57,58,59,50,45,40,45,40,17,17,8,7
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,MOTORCYKLER,34,44,27,31,28,29,31,48,38,55,37,37
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,PERSONBILER,3375,3087,2263,1961,1943,2248,2237,2871,3354,3403,3298,2748
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2016,"VAREVOGNE (MAX. 3,5 T)",776,611,760,783,734,737,749,763,753,425,388,313
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,A+B: KØRETØJER I ALT,4223,3713,3388,2916,3231,3341,3315,3883,4094,4101,3991,3198
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,A: LET TRAFIK I ALT,4095,3558,3222,2743,3084,3175,3163,3751,3995,4023,3925,3140
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,ANDRE BUSSER,11,22,25,11,9,13,23,19,18,11,14,10
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,B: TUNG TRAFIK I ALT,128,155,166,173,147,166,152,132,99,78,66,58
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,BUSSER I FAST RUTE,30,32,35,25,26,25,28,30,33,36,31,26
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,CYKLER + KNALLERTER,1786,3444,1422,724,723,882,739,1140,1843,2377,1894,1299
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,CYKLER + KNALLERTER I ALT,1799,3484,1444,732,731,889,749,1154,1874,2409,1909,1310
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,LADCYKLER,13,40,22,8,8,7,10,14,31,32,15,11
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,"LASTBILER, 2 aksler",32,35,41,59,40,56,40,25,22,12,11,16
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,"LASTBILER, 3 AKSLER",23,17,28,33,27,21,15,19,5,2,1,1
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,"LASTBILER, 4 - flere aksler",32,49,37,45,45,51,46,39,21,17,9,5
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,MOTORCYKLER,46,26,26,24,28,24,27,37,52,54,51,39
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,PERSONBILER,3285,2955,2448,1948,2222,2390,2435,2960,3289,3496,3462,2761
1,H.C. ANDERSENS BOULEVARD sø.f. Jarmers Plads,2015,"VAREVOGNE (MAX. 3,5 T)",764,577,748,771,834,761,701,754,654,473,412,340
3,BREDGADE n.f. Kgs Nytorv ,2013,A+B: KØRETØJER I ALT,987,1034,885,838,819,880,822,858,995,1091,1110,796
3,BREDGADE n.f. Kgs Nytorv ,2013,A: LET TRAFIK I ALT,919,967,822,769,758,827,764,815,961,1064,1087,777
3,BREDGADE n.f. Kgs Nytorv ,2013,ANDRE BUSSER,14,15,17,20,12,12,13,8,4,5,3,3
3,BREDGADE n.f. Kgs Nytorv ,2013,B: TUNG TRAFIK I ALT,68,67,63,69,61,53,58,43,34,27,23,19
3,BREDGADE n.f. Kgs Nytorv ,2013,BUSSER I FAST RUTE,17,17,19,19,18,17,20,21,24,20,18,16
3,BREDGADE n.f. Kgs Nytorv ,2013,CYKLER + KNALLERTER,613,985,442,219,191,227,285,331,580,881,710,385
3,BREDGADE n.f. Kgs Nytorv ,2013,CYKLER + KNALLERTER I ALT,622,1003,452,223,200,232,289,341,596,897,717,385
3,BREDGADE n.f. Kgs Nytorv ,2013,LADCYKLER,9,18,10,4,9,5,4,10,16,16,7,0
3,BREDGADE n.f. Kgs Nytorv ,2013,"LASTBILER, 2 aksler",19,24,10,15,24,10,15,3,4,1,1,0
3,BREDGADE n.f. Kgs Nytorv ,2013,"LASTBILER, 3 AKSLER",9,2,7,4,2,1,3,4,1,0,0,0
3,BREDGADE n.f. Kgs Nytorv ,2013,"LASTBILER, 4 - flere aksler",9,9,10,11,5,13,7,7,1,1,1,0
3,BREDGADE n.f. Kgs Nytorv ,2013,MOTORCYKLER,11,10,8,3,6,9,9,10,14,14,13,4
3,BREDGADE n.f. Kgs Nytorv ,2013,PERSONBILER,671,750,617,531,550,611,573,649,813,941,980,701
3,BREDGADE n.f. Kgs Nytorv ,2013,"VAREVOGNE (MAX. 3,5 T)",237,207,197,235,202,207,182,156,134,109,94,72
3,BREDGADE n.f. Kgs Nytorv ,2016,A+B: KØRETØJER I ALT,705,773,784,807,766,867,732,844,944,957,890,775
3,BREDGADE n.f. Kgs Nytorv ,2016,A: LET TRAFIK I ALT,659,732,737,767,715,835,670,790,894,931,869,752
3,BREDGADE n.f. Kgs Nytorv ,2016,ANDRE BUSSER,1,1,0,1,9,2,15,10,10,3,1,0
3,BREDGADE n.f. Kgs Nytorv ,2016,B: TUNG TRAFIK I ALT,46,41,47,40,51,32,62,54,50,26,21,23
3,BREDGADE n.f. Kgs Nytorv ,2016,BUSSER I FAST RUTE,19,17,20,17,18,18,18,21,18,19,19,19
3,BREDGADE n.f. Kgs Nytorv ,2016,CYKLER + KNALLERTER,385,743,240,246,217,229,277,295,470,694,556,329
3,BREDGADE n.f. Kgs Nytorv ,2016,CYKLER + KNALLERTER I ALT,391,760,244,247,222,239,290,301,484,704,567,337
3,BREDGADE n.f. Kgs Nytorv ,2016,LADCYKLER,6,17,4,1,5,10,13,6,14,10,11,8
3,BREDGADE n.f. Kgs Nytorv ,2016,"LASTBILER, 2 aksler",14,12,10,16,12,5,19,20,10,0,0,1
3,BREDGADE n.f. Kgs Nytorv ,2016,"LASTBILER, 3 aksler",6,1,7,3,5,3,1,0,0,1,0,0
3,BREDGADE n.f. Kgs Nytorv ,2016,"LASTBILER, 4 - flere aksler",6,10,10,3,7,4,9,3,12,3,1,3
3,BREDGADE n.f. Kgs Nytorv ,2016,MOTORCYKLER,3,3,1,7,1,4,6,3,9,10,8,8
3,BREDGADE n.f. Kgs Nytorv ,2016,PERSONBILER,457,570,521,509,510,659,581,694,783,833,779,672
3,BREDGADE n.f. Kgs Nytorv ,2016,"VAREVOGNE (MAX. 3,5 T)",0,0,0,0,0,0,0,0,0,0,0,0
3,BREDGADE n.f. Kgs Nytorv ,2016,"VAREVOGNE (MAX. 3,5 t)",199,159,215,251,204,172,83,93,102,88,82,72
3,BREDGADE n.f. Kgs Nytorv ,2018,A+B: KØRETØJER I ALT,932,877,801,770,742,738,725,804,893,1048,933,683
3,BREDGADE n.f. Kgs Nytorv ,2018,A: LET TRAFIK I ALT,881,837,750,728,701,688,692,775,862,1017,904,652
3,BREDGADE n.f. Kgs Nytorv ,2018,ANDRE BUSSER,3,8,5,7,7,14,6,7,7,6,6,10
3,BREDGADE n.f. Kgs Nytorv ,2018,B: TUNG TRAFIK I ALT,51,40,51,42,41,50,33,29,31,31,29,31
3,BREDGADE n.f. Kgs Nytorv ,2018,BUSSER I FAST RUTE,16,18,21,17,18,19,19,21,19,19,20,21
3,BREDGADE n.f. Kgs Nytorv ,2018,CYKLER + KNALLERTER,645,1267,484,258,247,272,275,326,599,739,603,397
3,BREDGADE n.f. Kgs Nytorv ,2018,CYKLER + KNALLERTER I ALT,667,1291,494,268,254,282,284,336,616,754,615,400
3,BREDGADE n.f. Kgs Nytorv ,2018,LADCYKLER,22,24,10,10,7,10,9,10,17,15,12,3
3,BREDGADE n.f. Kgs Nytorv ,2018,"LASTBILER, 2 aksler",14,12,12,13,11,9,5,1,2,4,2,0
3,BREDGADE n.f. Kgs Nytorv ,2018,"LASTBILER, 3 aksler",8,1,6,3,2,4,2,0,0,1,0,0
3,BREDGADE n.f. Kgs Nytorv ,2018,"LASTBILER, 4 - flere aksler",10,1,7,2,3,4,1,0,3,1,1,0
3,BREDGADE n.f. Kgs Nytorv ,2018,MOTORCYKLER,8,9,4,1,2,2,6,2,7,9,7,3
3,BREDGADE n.f. Kgs Nytorv ,2018,PERSONBILER,629,658,566,485,483,518,528,650,749,931,834,598
3,BREDGADE n.f. Kgs Nytorv ,2018,"VAREVOGNE (MAX. 3,5 T)",0,0,0,0,0,0,0,0,0,0,0,0
3,BREDGADE n.f. Kgs Nytorv ,2018,"VAREVOGNE (MAX. 3,5 t)",244,170,180,242,216,168,158,123,106,77,63,51
3,BREDGADE n.f. Kgs Nytorv ,2020,A+B: KØRETØJER I ALT,873,820,710,648,605,577,665,769,902,886,855,674
3,BREDGADE n.f. Kgs Nytorv ,2020,A: LET TRAFIK I ALT,834,798,689,630,590,561,658,759,899,884,851,671
3,BREDGADE n.f. Kgs Nytorv ,2020,ANDRE BUSSER,1,0,2,0,0,2,0,2,0,0,0,1
3,BREDGADE n.f. Kgs Nytorv ,2020,B: TUNG TRAFIK I ALT,39,22,21,18,15,16,7,10,3,2,4,3
3,BREDGADE n.f. Kgs Nytorv ,2020,BUSSER I FAST RUTE,2,2,2,2,3,2,2,2,2,2,1,2
3,BREDGADE n.f. Kgs Nytorv ,2020,CYKLER + KNALLERTER,648,1080,437,244,213,284,273,290,428,615,432,144
3,BREDGADE n.f. Kgs Nytorv ,2020,CYKLER + KNALLERTER I ALT,670,1114,457,257,225,288,283,303,446,629,442,148
3,BREDGADE n.f. Kgs Nytorv ,2020,LADCYKLER,22,34,20,13,12,4,10,13,18,14,10,4
3,BREDGADE n.f. Kgs Nytorv ,2020,"LASTBILER, 2 aksler",18,13,8,8,5,8,2,4,1,0,2,0
3,BREDGADE n.f. Kgs Nytorv ,2020,"LASTBILER, 3 aksler",7,4,5,5,4,1,0,1,0,0,1,0
3,BREDGADE n.f. Kgs Nytorv ,2020,"LASTBILER, 4 - flere aksler",11,3,4,3,3,3,3,1,0,0,0,0
3,BREDGADE n.f. Kgs Nytorv ,2020,MOTORCYKLER,5,3,4,3,4,2,4,6,7,6,9,5
3,BREDGADE n.f. Kgs Nytorv ,2020,PERSONBILER,615,623,504,407,422,422,538,631,778,791,775,611
3,BREDGADE n.f. Kgs Nytorv ,2020,"VAREVOGNE (MAX. 3,5 T)",214,172,181,220,164,137,116,122,114,87,67,55
3,BREDGADE n.f. Kgs Nytorv ,2021,A+B: KØRETØJER I ALT,869,870,807,735,740,742,715,766,851,895,819,782
3,BREDGADE n.f. Kgs Nytorv ,2021,A: LET TRAFIK I ALT,841,849,778,702,709,717,705,761,846,890,814,778
3,BREDGADE n.f. Kgs Nytorv ,2021,ANDRE BUSSER,0,0,4,1,2,1,0,0,3,1,1,0
3,BREDGADE n.f. Kgs Nytorv ,2021,B: TUNG TRAFIK I ALT,28,21,29,33,31,25,10,5,5,5,5,4
3,BREDGADE n.f. Kgs Nytorv ,2021,BUSSER I FAST RUTE,2,2,3,2,2,2,3,1,1,2,2,3
3,BREDGADE n.f. Kgs Nytorv ,2021,CYKLER + KNALLERTER,554,924,424,195,210,232,203,280,411,586,465,339
3,BREDGADE n.f. Kgs Nytorv ,2021,CYKLER + KNALLERTER I ALT,576,973,442,206,226,243,217,292,429,601,481,347
3,BREDGADE n.f. Kgs Nytorv ,2021,LADCYKLER,22,49,18,11,16,11,14,12,18,15,16,8
3,BREDGADE n.f. Kgs Nytorv ,2021,"LASTBILER, 2 aksler",15,10,15,22,22,14,3,3,1,1,1,1
3,BREDGADE n.f. Kgs Nytorv ,2021,"LASTBILER, 3 aksler",6,6,6,3,2,2,1,0,0,0,0,0
3,BREDGADE n.f. Kgs Nytorv ,2021,"LASTBILER, 4 - flere aksler",5,3,1,5,3,6,3,1,0,1,1,0
3,BREDGADE n.f. Kgs Nytorv ,2021,MOTORCYKLER,1,1,0,1,7,4,2,0,3,5,1,3
3,BREDGADE n.f. Kgs Nytorv ,2021,PERSONBILER,642,673,585,454,470,549,547,634,735,822,749,727
3,BREDGADE n.f. Kgs Nytorv ,2021,"VAREVOGNE (MAX. 3,5 T)",198,175,193,247,232,164,156,127,108,63,64,48
3,BREDGADE n.f. Kgs Nytorv ,2022,A+B: KØRETØJER I ALT,1100,1088,835,776,760,763,700,830,980,1064,920,721
3,BREDGADE n.f. Kgs Nytorv ,2022,A: LET TRAFIK I ALT,1067,1062,801,736,729,743,686,816,971,1058,916,718
3,BREDGADE n.f. Kgs Nytorv ,2022,ANDRE BUSSER,2,1,3,2,4,0,1,3,4,2,0,1
3,BREDGADE n.f. Kgs Nytorv ,2022,B: TUNG TRAFIK I ALT,33,26,34,40,31,20,14,14,9,6,4,3
3,BREDGADE n.f. Kgs Nytorv ,2022,BUSSER I FAST RUTE,1,2,2,2,2,1,2,3,2,2,2,2
3,BREDGADE n.f. Kgs Nytorv ,2022,CYKLER + KNALLERTER,669,1237,436,195,186,159,166,243,452,764,584,285
3,BREDGADE n.f. Kgs Nytorv ,2022,CYKLER + KNALLERTER I ALT,698,1293,463,205,197,170,177,261,483,795,597,291
3,BREDGADE n.f. Kgs Nytorv ,2022,LADCYKLER,29,56,27,10,11,11,11,18,31,31,13,6
3,BREDGADE n.f. Kgs Nytorv ,2022,"LASTBILER, 2 aksler",15,11,19,19,16,9,2,5,2,2,1,0
3,BREDGADE n.f. Kgs Nytorv ,2022,"LASTBILER, 3 aksler",6,6,6,10,8,4,3,1,0,0,1,0
3,BREDGADE n.f. Kgs Nytorv ,2022,"LASTBILER, 4 - flere aksler",9,6,4,7,1,6,6,2,1,0,0,0
3,BREDGADE n.f. Kgs Nytorv ,2022,MOTORCYKLER,2,3,3,1,2,1,5,3,3,2,4,3
3,BREDGADE n.f. Kgs Nytorv ,2022,PERSONBILER,755,855,581,495,506,582,534,667,857,986,850,666
3,BREDGADE n.f. Kgs Nytorv ,2022,"VAREVOGNE (MAX. 3,5 T)",310,204,217,240,221,160,147,146,111,70,62,49
3,BREDGADE n.f. Kgs Nytorv ,2014,A+B: KØRETØJER I ALT,974,973,878,867,742,834,829,874,1004,1001,954,783
3,BREDGADE n.f. Kgs Nytorv ,2014,A: LET TRAFIK I ALT,919,922,818,806,693,790,791,837,975,974,932,764
3,BREDGADE n.f. Kgs Nytorv ,2014,ANDRE BUSSER,2,0,7,10,6,5,8,5,2,5,2,1
3,BREDGADE n.f. Kgs Nytorv ,2014,B: TUNG TRAFIK I ALT,55,51,60,61,49,44,38,37,29,27,22,19
3,BREDGADE n.f. Kgs Nytorv ,2014,BUSSER I FAST RUTE,18,15,22,19,18,21,18,21,24,19,18,18
3,BREDGADE n.f. Kgs Nytorv ,2014,CYKLER + KNALLERTER,464,750,291,124,123,190,177,249,417,634,488,307
3,BREDGADE n.f. Kgs Nytorv ,2014,CYKLER + KNALLERTER I ALT,477,765,299,128,125,193,185,254,440,644,499,308
3,BREDGADE n.f. Kgs Nytorv ,2014,LADCYKLER,13,15,8,4,2,3,8,5,23,10,11,1
3,BREDGADE n.f. Kgs Nytorv ,2014,"LASTBILER, 2 aksler",19,24,18,15,17,9,5,4,1,2,1,0
3,BREDGADE n.f. Kgs Nytorv ,2014,"LASTBILER, 3 AKSLER",6,3,6,6,4,1,1,0,0,0,1,0
