TS,vejnavn,beskrivelse,taelling_type,wkb_geometry,ÅR,RETNING,KATEGORI,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),PERSONBILER,1540,1514,1070,946,1064,1166,1202,1399,1631,1882,1669,1312
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),"VAREVOGNE (MAX. 3,5 T)",385,446,393,413,439,392,353,404,303,258,200,156
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),MOTORCYKLER,22,17,8,8,11,11,9,15,26,29,28,17
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),A: LET TRAFIK I ALT,1947,1977,1471,1367,1514,1569,1564,1818,1960,2169,1897,1485
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),"LASTBILER, 2 AKSLER",22,28,25,39,19,20,19,12,4,9,5,2
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),"LASTBILER, 3 AKSLER",13,8,11,12,8,13,7,6,0,1,0,0
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),"LASTBILER, 4 - FLERE AKSLER",28,31,23,31,36,26,16,20,17,13,8,3
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),BUSSER I FAST RUTE,17,19,16,13,13,12,13,16,17,17,15,14
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),ANDRE BUSSER,3,12,5,7,4,4,8,8,7,8,3,10
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),B: TUNG TRAFIK I ALT,83,98,80,102,80,75,63,62,45,48,31,29
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),A+B: KØRETØJER I ALT,2030,2075,1551,1469,1594,1644,1627,1880,2005,2217,1928,1514
1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,Andre faste tællinger,POINT (12.565491397230991 55.677960848602766),2013,NV (FRA BYEN),LADCYKLER,8,10,8,3,3,4,2,8,7,10,5,1
